two	Two. A bird has two wings. Two.
use	Use. Use a fork to eat. Use.
used	Used. I used a pen to write. Used.
very	Very. The cake is very sweet. Very.
walk	Walk. Let's walk to the park. Walk.
want	Want. I want an apple. Want.
was	Was. It was a cold morning. Was.
water	Water. Fish live in the water. Water.
way	Way. Which way did he go? Way.
we	We. We are a happy team. We.
wednesday	Wednesday. It is Wednesday today. Wednesday.
were	Were. We were at the beach. Were.
what	What. What is your name? What.
when	When. When is it time to go? When.
where	Where. Where are my keys? Where.
who	Who. Who is that man? Who.
whose	Whose. Whose backpack is this? Whose.
why	Why. Why is the sky blue? Why.
won	Won. Our team won the game. Won.
word	Word. I can spell that word. Word.
work	Work. I have work to do. Work.
world	World. The world is very big. World.
would	Would. Would you like some milk? Would.
write	Write. I like to write stories. Write.
you	You. You are a nice person. You.
young	Young. The young puppy likes to bark. Young.
your	Your. Is this your pencil? Your.
